AX,AY,AZ,GX,GY,GZ
0.013064,-0.037339,0.036108,-0.102234,0.172424,-1.057434
0.061769,0.00563,0.009576,-0.094604,0.177002,-1.05896
0.084659,-0.001206,0.014094,-0.080872,0.17395,-1.060486
0.095618,-0.015366,-0.000409,-0.088501,0.170898,-1.054382
0.111887,0.006606,0.006358,-0.07782,0.169373,-1.052856
0.14443,0.011733,-0.037238,-0.086975,0.18158,-1.05896
0.147573,-0.001206,-0.020072,-0.085449,0.18158,-1.060486
0.133267,0.011001,-0.006412,-0.082397,0.172424,-1.060486
0.153351,0.014663,-0.020397,-0.079346,0.169373,-1.072693
0.129924,0.007583,-0.027721,-0.074768,0.187683,-1.068115
0.119953,-0.005601,-0.005849,-0.07019,0.177002,-1.074219
0.13485,0.006118,-0.00281,-0.07019,0.180054,-1.078796
0.135336,0.000747,-0.032943,-0.059509,0.163269,-1.05896
0.118121,0.0027,-0.028913,-0.061035,0.166321,-1.055908
0.123958,0.007095,-0.018189,-0.05188,0.166321,-1.05896
0.11915,0.011733,-0.021001,-0.067139,0.189209,-1.069641
0.129776,0.026626,-0.017969,-0.053406,0.190735,-1.063538
0.120256,0.020522,-0.010578,-0.050354,0.177002,-1.05896
0.105515,0.027603,0.010448,-0.065613,0.202942,-1.046753
0.119424,0.016128,0.00612,-0.057983,0.192261,-1.042175
0.107437,0.015151,-0.006332,-0.082397,0.212097,-1.03302
0.093243,0.021987,0.01323,-0.076294,0.192261,-1.042175
0.122567,0.014663,0.023285,-0.093079,0.20752,-1.029968
0.114654,0.002212,-0.013769,-0.07782,0.205994,-1.019287
0.120578,0.001724,0.014241,-0.094604,0.218201,-1.054382
0.123734,0.002212,0.006671,-0.076294,0.198364,-1.043701
0.105966,-0.009751,-0.004032,-0.079346,0.198364,-1.043701
0.133705,-0.002915,-0.0152,-0.09613,0.204468,-1.039124
0.131584,-0.005845,-0.021607,-0.099182,0.190735,-1.040649
0.132364,-0.001694,0.022549,-0.09613,0.196838,-1.049805
0.133419,0.020278,0.019077,-0.094604,0.18158,-1.049805
0.148226,0.008315,-0.012789,-0.083923,0.195312,-1.040649
0.142201,0.005142,0.004737,-0.080872,0.204468,-1.049805
0.14135,0.023696,-0.008114,-0.094604,0.192261,-1.043701
0.150441,0.010269,-0.010985,-0.083923,0.218201,-1.043701
0.144023,0.023696,-0.023636,-0.111389,0.189209,-1.042175
0.138848,0.011733,-0.012303,-0.09613,0.204468,-1.049805
0.142319,0.017349,0.007792,-0.106812,0.196838,-1.043701
0.146937,0.026138,0.002192,-0.088501,0.192261,-1.054382
0.15842,0.011001,0.015229,-0.099182,0.192261,-1.052856
0.166225,0.009536,0.025915,-0.079346,0.183105,-1.049805
0.159562,0.007339,0.009999,-0.100708,0.189209,-1.045227
0.175167,0.021255,-0.003869,-0.099182,0.198364,-1.049805
0.173959,0.017593,-0.006842,-0.10376,0.167847,-1.060486
0.172286,0.012466,-0.007264,-0.105286,0.189209,-1.049805
0.177263,0.026138,-0.005121,-0.088501,0.178528,-1.05896
0.178007,0.031509,-0.001018,-0.09613,0.175476,-1.065063
0.183806,0.032241,0.00774,-0.100708,0.186157,-1.062012
0.181486,0.027847,-0.002811,-0.106812,0.183105,-1.065063
0.182509,0.038589,-0.011096,-0.083923,0.17395,-1.063538
0.179969,0.016372,-0.017253,-0.079346,0.172424,-1.078796
0.175779,0.025405,0.002871,-0.088501,0.18158,-1.066589
0.181185,0.01564,0.000495,-0.082397,0.186157,-1.062012
0.175053,0.025649,0.009273,-0.085449,0.187683,-1.068115
0.174403,0.00978,0.000566,-0.07782,0.180054,-1.040649
0.175754,0.018081,0.014255,-0.10376,0.175476,-1.062012
0.172711,0.006851,-0.01036,-0.079346,0.170898,-1.075745
0.174866,0.013931,-0.000563,-0.057983,0.166321,-1.072693
0.167327,0.013198,0.001098,-0.079346,0.170898,-1.069641
0.171948,0.003921,-0.005925,-0.064087,0.166321,-1.060486
0.177539,0.004653,-0.016086,-0.067139,0.190735,-1.074219
0.175245,0.012222,-0.001357,-0.080872,0.169373,-1.05896
0.17207,0.018325,-0.004293,-0.090027,0.17395,-1.080322
0.172914,0.012466,-0.007639,-0.079346,0.172424,-1.072693
